0,18,1900,33,1800,11,994,5,265,9,0,0,164,2,370,73,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,181,3,0,0,303,30,15,0,16,1,0,0,0,0,6,1,7,0,0,0,4,0,23,0,0,0,0,0,5410,2,107,7,132,0,68,1,32,2,454,1,965,1,192,22,100,14,8,1,0,0,6,0,44,1,0,0,88,0,1,0,3,0,1,1,0,1,15,4,3,0,0,1,0,0,0,0,3,2,1,1,3,1,1,0,0,1,0,0,0,0,4,0,1,0,16,0,13,0,3,0,0,1,29,1,12,1,3,0,0,1,0,0,17,2,25,0,2,0,1,0,0,6,39,33,0,0,0,1,1,0,0,1,1,3,1,1,12,0
18,0,1,2068,0,2515,6,1457,3,403,0,0,11,493,18,853,0,1,1,22,0,3,0,0,0,0,0,0,0,0,0,0,41,43,0,0,114,396,15,3,13,5,2,0,0,2,0,1,0,3,0,6,1,6,3,8,0,0,0,0,19,4989,2,133,5,236,3,139,1,48,67,14,42,326,11,558,10,200,1,27,0,0,5,4,12,10,0,0,8,19,0,0,1,3,2,5,2,3,10,10,5,2,0,6,1,0,4,2,1,3,1,0,6,26,0,0,1,0,0,1,0,7,0,2,1,16,0,30,1,16,0,2,0,6,3,29,1,7,0,6,0,10,0,9,1,69,1,28,1,16,0,1,0,3,0,44,0,6,0,0,0,6,1,33,0,4,1,1,3,0
1900,1,0,16,8484,15,226,4,757,6,280,1,28,1,1955,28,75,27,4633,70,415,92,117,1,61,0,521,0,43,1,89,0,211,4,0,0,958,24,42,0,9,0,1,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,189,1,2,1,1,1,6,1,1,0,61,3,308,1,773,54,317,16,4,0,0,0,0,0,5,0,3,0,13,0,2,0,2,0,0,1,1,0,11,0,1,2,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,8,0,10,0,4,0,19,0,3,0,5,0,0,0,66,0,28,0,4,0,0,0,1,0,10,0,12,0,1,0,249,56,550,168,914,175,16,12,0,0,1,0,2,2,2,0,1,0,1,0
33,2068,16,0,8,7229,7,247,12,368,0,102,0,13,35,2089,0,2,1,4238,0,545,0,30,0,68,0,146,0,5,0,21,18,120,0,0,106,194,2,1,2,2,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,21,304,1,29,1,56,0,35,0,9,13,4,31,67,20,595,9,315,1,13,0,0,0,0,0,6,0,1,1,5,0,0,0,0,0,2,1,1,9,5,0,0,0,3,0,0,1,1,1,0,0,0,8,3,1,0,0,0,0,1,0,0,1,0,0,3,2,3,1,6,0,0,0,4,2,19,0,3,1,1,1,1,0,2,1,24,2,13,0,4,2,3,0,158,21,112,0,5,0,0,1,2,1,8,1,0,1,2,4,0
1800,0,8484,8,0,5,893,1,4243,6,1135,1,25,0,435,19,33,14,275,43,59,38,39,3,14,0,642,1,83,0,757,1,182,5,0,0,484,14,15,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,125,2,1,0,3,2,2,0,0,0,25,0,95,0,627,17,216,7,3,1,0,0,1,0,0,0,6,0,4,0,3,0,2,0,0,1,0,0,5,0,0,0,1,1,0,0,0,0,2,0,0,0,1,2,0,1,0,0,0,0,6,0,7,0,3,0,22,0,0,0,4,0,0,1,51,0,18,0,2,0,0,0,0,0,3,1,9,0,2,0,93,38,144,129,448,155,16,6,0,0,0,0,0,0,1,0,2,0,3,0
11,2515,15,7229,5,0,10,1617,7,2762,0,730,1,22,43,231,1,4,1,809,0,156,0,16,0,30,0,480,0,56,0,80,12,402,0,0,30,89,8,4,3,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,17,254,0,25,0,64,3,51,1,18,12,4,10,10,21,791,8,617,0,17,0,0,1,1,2,6,0,2,2,3,0,1,0,1,0,0,0,1,6,7,1,0,0,2,1,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,1,0,7,2,2,1,8,0,0,0,2,1,16,0,1,0,1,0,3,0,1,2,26,0,8,1,7,1,2,0,54,11,83,0,4,0,0,0,3,0,5,0,1,1,0,1,0
994,6,226,7,893,10,0,2,1597,5,3,0,1078,1,243,15,1,0,19,6,0,0,0,0,0,0,1,0,0,0,0,0,358,0,0,0,155,25,16,0,13,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,274,3,20,1,10,0,9,0,1,0,86,0,180,0,411,13,105,8,4,1,0,0,4,0,9,0,0,0,12,0,0,0,1,0,0,0,0,0,11,1,4,0,0,0,0,0,1,0,1,2,0,0,1,3,0,0,0,1,0,0,4,0,17,0,1,0,28,0,6,0,5,0,0,0,47,0,31,0,2,0,2,0,0,0,19,0,21,0,1,0,0,0,1,11,50,55,2,0,0,0,0,1,5,0,2,0,0,1,5,0
5,1457,4,247,1,1617,2,0,0,2092,0,6,1,1027,22,104,0,0,0,79,0,2,0,0,0,0,0,0,0,0,0,0,7,1364,0,0,21,34,5,2,1,3,1,0,0,0,0,0,0,0,0,2,0,5,0,3,0,0,0,0,4,447,0,17,0,84,1,105,0,18,11,1,5,7,4,382,6,272,1,5,0,0,1,5,2,8,0,0,5,13,0,0,0,1,0,2,1,0,2,6,1,0,0,1,1,1,1,1,0,0,0,0,2,14,0,0,0,0,0,0,0,1,0,0,2,11,3,3,0,9,0,1,0,2,2,17,0,2,0,3,0,6,0,5,2,35,2,8,0,9,0,2,0,17,3,27,1,2,0,0,0,1,1,7,0,3,1,0,2,0
265,3,757,12,4243,7,1597,0,0,4,1675,1,187,0,188,19,0,1,57,10,2,2,3,0,0,1,16,0,7,0,65,0,999,2,0,0,113,17,6,0,6,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,48,0,0,1,2,2,2,0,4,0,27,0,57,0,955,13,387,3,8,1,0,0,2,0,3,0,6,0,4,1,1,0,1,0,1,0,0,0,4,0,3,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,1,11,0,17,0,16,1,18,0,5,0,3,0,0,0,65,1,31,0,1,0,0,0,1,0,13,0,10,0,3,0,4,16,14,80,150,96,5,0,0,0,1,0,2,1,2,0,1,0,5,0
9,403,6,368,6,2762,5,2092,4,0,0,1047,3,32,25,105,0,0,0,176,0,24,0,3,0,4,0,17,0,1,0,42,4,1182,0,0,7,27,1,1,3,0,0,0,0,1,0,0,0,0,0,1,0,2,1,1,0,0,0,0,5,87,0,7,0,26,0,31,0,7,0,1,2,0,19,403,4,367,0,8,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,1,0,0,0,1,6,0,0,0,0,0,0,0,1,3,1,0,1,1,3,0,3,0,1,0,1,1,8,1,0,1,0,0,1,0,0,0,12,1,4,0,3,0,3,0,72,8,48,0,1,0,0,0,1,0,1,1,2,1,1,2,0
0,0,280,0,1135,0,3,0,1675,0,0,0,1,0,0,0,39,1,16,4,14,14,30,0,32,0,178,0,965,0,1204,0,260,0,0,0,1,0,0,0,5,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,342,3,618,1,6,0,0,0,0,0,0,0,57,0,5,0,12,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,2,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,11,3,28,8,20,6,31,1,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,102,1,730,0,6,1,1047,0,0,0,0,0,0,0,10,1,49,0,106,0,58,0,48,0,429,0,732,0,517,0,1218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,353,0,2,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0
